[2025-10-17 13:37:19.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:20.107] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-10-17 13:37:20.108] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-10-17 13:37:20.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:21.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:22.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:23.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:24.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:25.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:26.291] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-10-17 13:37:26.291] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-10-17 13:37:26.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:27.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:28.151] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-10-17 13:37:28.152] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-10-17 13:37:28.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:29.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:30.293] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-10-17 13:37:30.294] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-10-17 13:37:30.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:31.785] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-10-17 13:37:31.785] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-10-17 13:37:31.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:32.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:33.817] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-10-17 13:37:33.818] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-10-17 13:37:33.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:34.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:35.285] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-10-17 13:37:35.285] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-10-17 13:37:35.873] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-10-17 13:37:35.874] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-10-17 13:37:35.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:36.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:36.996] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-10-17 13:37:36.997] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-10-17 13:37:37.564] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-10-17 13:37:37.565] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-10-17 13:37:37.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:38.735] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-10-17 13:37:38.736] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-10-17 13:37:38.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:39.063] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-10-17 13:37:39.064] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-10-17 13:37:39.727] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-10-17 13:37:39.727] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-10-17 13:37:39.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:40.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:40.982] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-10-17 13:37:40.983] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-10-17 13:37:41.331] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-10-17 13:37:41.331] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-10-17 13:37:41.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:42.290] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-10-17 13:37:42.290] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-10-17 13:37:42.664] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-10-17 13:37:42.664] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-10-17 13:37:42.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:43.034] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2025-10-17 13:37:43.035] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2025-10-17 13:37:43.637] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-10-17 13:37:43.637] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-10-17 13:37:43.838] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-10-17 13:37:43.838] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
